epoch,train_correct_rate,train_loss,test_correct_rate,test_loss,train_entropy,test_entropy
0,0.34717,2.722134001970291,0.3462900019993649,2.6765219546430474,-inf,-inf
1,0.37359,2.5361218336820603,0.3674244651698872,2.572789056007787,-inf,-inf
2,0.3882,2.4447816507816316,0.3742575887659214,2.5213654766946183,-inf,-inf
3,0.39806,2.383339264988899,0.3791854352146965,2.4921114525460797,-inf,-inf
4,0.40528,2.3368303772211076,0.38173756571442014,2.475017849035444,-inf,-inf
5,0.41062,2.2989722323417663,0.3855951638891176,2.4664407032885154,-inf,-inf
6,0.416,2.2659282809495926,0.38619497336140285,2.4592266425192277,-inf,-inf
7,0.42082,2.237629292726517,0.38667717313324,2.4562228914472377,-inf,-inf
8,0.4253,2.2132966668605802,0.3851129641172804,2.46232292039645,-inf,-inf
9,0.43115,2.1913059527873995,0.3877121384971832,2.4651720463912024,-inf,-inf
10,0.43378,2.1692954593896867,0.38721817775530126,2.4660005106455953,-inf,-inf
11,0.43821,2.1501015927791594,0.38554812000893834,2.4755898416403346,-inf,-inf
12,0.44046,2.1331496618986128,0.38504239829701153,2.484885172358443,-inf,-inf
13,0.44289,2.1173718750476835,0.38367812577181365,2.4905853351567577,-inf,-inf
14,0.44551,2.1021746603250504,0.38354875510132075,2.501860732076163,-inf,-inf
15,0.448,2.087719458460808,0.38212567772589884,2.5105380709968457,-inf,-inf
16,0.44975,2.074347945809364,0.3821609606360333,2.506059250671269,-inf,-inf
17,0.45307,2.0611959874629973,0.3805849906500288,2.520060619020366,-inf,-inf
18,0.45682,2.0486785706281663,0.38090253684123865,2.5237038518643695,-inf,-inf
19,0.4586,2.0373138353824616,0.3781504698507533,2.528511726533908,-inf,-inf
20,0.48424,1.9056059849262237,0.38703000223458434,2.532597233455097,-inf,-inf
21,0.48877,1.8807536479234694,0.38741811424606304,2.5362008823152196,-inf,-inf
22,0.49189,1.8679262955188751,0.38593623202041705,2.5427238621841224,-inf,-inf
23,0.49397,1.8583206253051758,0.3849247885965634,2.5502247094325705,-inf,-inf
24,0.49594,1.8502784801721572,0.38432497912427815,2.5577144545299237,-inf,-inf
25,0.49757,1.8429428972005844,0.3832429698801557,2.566247569516022,-inf,-inf
26,0.49926,1.8365415021181106,0.3829842285391699,2.572813481805729,-inf,-inf
27,0.49982,1.8303884191513062,0.3826196384677808,2.5806072782387517,-inf,-inf
28,0.50175,1.8246725326776505,0.3819610241452715,2.5883840023121842,-inf,-inf
29,0.50213,1.8195340840816498,0.38129064885271735,2.595913350180445,-inf,-inf
30,0.50344,1.8143632633686066,0.38134945370294143,2.6024663766731777,-inf,-inf
31,0.50424,1.8096622837781906,0.38038505415926704,2.6095881381845722,-inf,-inf
32,0.50554,1.8050694074630738,0.37991461535747467,2.6158637763379184,-inf,-inf
33,0.50696,1.8005853301286698,0.3795500252860856,2.62179376335184,-inf,-inf
34,0.50831,1.7962927643060684,0.37883260611335223,2.627808820544199,-inf,-inf
35,0.50934,1.7920942120552064,0.37869147447281454,2.6335723925003047,-inf,-inf
36,0.51069,1.7880670223236084,0.3780563820903948,2.6393204783387225,-inf,-inf
37,0.51158,1.7841963324546815,0.37735072388770624,2.6457281969976183,-inf,-inf
38,0.51261,1.780511645078659,0.3770449386665412,2.6510787272089624,-inf,-inf
39,0.51346,1.7769653114080428,0.37643336822421114,2.656939179513128,-inf,-inf
40,0.52036,1.7505749784708022,0.37913839133451727,2.648673992056486,-inf,-inf
41,0.5215,1.7461102361679077,0.3785503428322768,2.6482469294418816,-inf,-inf
42,0.522,1.7447848628759384,0.37823279664106696,2.6487037156556257,-inf,-inf
43,0.52207,1.7439237666130065,0.3783268844014254,2.649606136861428,-inf,-inf
44,0.52202,1.7430833827257157,0.3781975137309325,2.6505915880306996,-inf,-inf
45,0.52217,1.7422329185009002,0.37812694791066365,2.6518409599053765,-inf,-inf
46,0.52231,1.7414167897701263,0.3779505333599915,2.6531491821397455,-inf,-inf
47,0.52236,1.740564944267273,0.37796229433003636,2.6542714231892783,-inf,-inf
48,0.52253,1.7397634880542756,0.37771531395909536,2.655470481444865,-inf,-inf
49,0.52281,1.7389439649581908,0.3776447481388265,2.656691554590161,-inf,-inf
50,0.52291,1.7381370792388915,0.37771531395909536,2.657808692298238,-inf,-inf
51,0.52302,1.7373506292104721,0.377491855528244,2.6589006044979424,-inf,-inf
52,0.52292,1.7365615243911743,0.37726839709739257,2.6600804926962778,-inf,-inf
53,0.52324,1.7358266384601593,0.377244875157303,2.661073138034784,-inf,-inf
54,0.5234,1.7350930018424988,0.3771507873969445,2.6622080648134814,-inf,-inf
55,0.52353,1.7343515330553054,0.37708022157667564,2.6633478230825616,-inf,-inf
56,0.52378,1.733595409154892,0.377056699636586,2.6645254126742164,-inf,-inf
57,0.52393,1.7328666071891785,0.377056699636586,2.6655925328691694,-inf,-inf
58,0.52411,1.7321546249389648,0.37706846060663085,2.6667522519330222,-inf,-inf
59,0.52434,1.7314626401662827,0.3771507873969445,2.6679009753990637,-inf,-inf
